"","sq_ft","date","location","description","ceiling_value","value","agency","savings"
"88","393",2025-02-13,"MERRILL, WI","True Termination- Agency Closed Office",6067,6067,"DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL",6067
"89","66390",2025-02-13,"WASHINGTON, DC","True Termination- Move to Federal Space",2547874,0,"MULTIPLE",0
"90","59681",2025-02-13,"WASHINGTON, DC","True Termination- Move to Federal Space",2774013,0,"DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT",0
"91","15280",2025-02-13,"LORTON, VA","True Termination- Agency Closed Office",342689,0,"MULTIPLE",0
"92","8360",2025-02-14,"ATLANTA, GA","True Termination- Move to Federal Space",223483,0,"FEDERAL TRADE COMMISSION",0
"93","259130",2025-02-14,"WASHINGTON, DC","True Termination- Lease Backfill",11466505,NA,"FEDERAL TRADE COMMISSION",NA
"94","1023",2025-02-14,"CHATTANOOGA, TN","True Termination- Agency Closed Office",19938,0,"DHS-CBP FIELD OPERATIONS FACILITIES",0
"95","7682",2025-02-14,"ATLANTA, GA","True Termination- Agency Closed Office",128233,544991,"ALLOWANCE TO FORMER PRESIDENTS",544991
"96","3392",2025-02-14,"ST. LOUIS, MO","True Termination- Agency Closed Office",85087,0,"DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W",0
"97","1330",2025-02-14,"FOLSOM, CA","True Termination- Agency Closed Office",39208,78417,"MULTIPLE",78417
"98","115",2025-02-18,"RENSSELAER, NY","True Termination- Vacant Space Buyout",2500,NA,"MULTIPLE",NA
"99","4045",2025-02-18,"SAINT AUGUSTINE, FL","Agency entering into a license agreement with Northrop Grumman for their space",78878,0,"DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL",0
"100","4328",2025-02-18,"CRAIG, CO","True Termination- Agency Closed Office",184283,0,"MINE SAFETY HEALTH ADMINISTRATION",0
"101","1743",2025-02-19,"ROCKFORD, IL","True Termination- Agency Closed Office",36768,61280,"SOCIAL SECURITY ADMINISTRATION",61280
"102","10895",2025-02-19,"ROCK ISLAND, IL","Agency moving to Rock Island Leased Courthouse",192352,192352,"U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE)",192352
"103","1449",2025-02-20,"ST. JOSEPH, MO","True Termination- Consolidation",34252,0,"FEDERAL BUREAU OF INVESTIGATION",0
"104","88469",2025-02-20,"ARLINGTON, VA","True Termination- Move to Federal Space",3016102,0,"MINE SAFETY HEALTH ADMINISTRATION",0
"105","64471",2025-02-21,"SILVER SPRING, MD","True Termination- Agency Closed Office",2006132,0,"MULTIPLE",0
"106","29744",2025-02-21,"DERWOOD, MD","True Termination- Agency Closed Office",884357,0,"MULTIPLE",0
"107","0",2025-02-21,"HARTFORD, CT","True Termination- Agency Closed Office",8400,23100,"FAS, REG 01 FLEET MANAGEMENT FACILITIES",23100
"108","5736",2025-02-21,"SAN JOSE, CA","True Termination: Agency Approved Termination",306439,1174681,"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION",1174681
"109","6242",2025-02-21,"YREKA, CA","True Termination: Agency Approved Termination",126132,126132,"NATURAL RESOURCES CONSERVATION SERVICE",126132
"110","7915",2025-02-21,"MISSOULA, MT","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development",262922,87641,"SOCIAL SECURITY ADMINISTRATION",87641
"111","7869",2025-02-21,"WATERTOWN, SD","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development.",238328,278049,"FARM SERVICE AGENCY - COUNTY",278049
"112","7975",2025-02-21,"GRAND JUNCTION, CO","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development",273418,432912,"SOCIAL SECURITY ADMINISTRATION",432912
"113","7699",2025-02-21,"KALISPELL, MT","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development",151400,63083,"SOCIAL SECURITY ADMINISTRATION",63083
"114","750",2025-02-21,"ST. GEORGE, UT","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development.",50400,252000,"BUREAU OF INDIAN AFFAIRS",252000
"115","4131",2025-02-21,"ROCK SPRINGS, WY","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development.",77904,292142,"SOCIAL SECURITY ADMINISTRATION",292142
"116","0",2025-02-21,"BISMARCK, ND","True Termination- Agency Closed Office",2016,2520,"FAS, REG 08 FLEET MANAGEMENT FACILITIES",2520
"117","14800",2025-02-21,"FARGO, ND","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development.",244940,NA,"FARM SERVICE AGENCY- STATE",NA
"118","5950",2025-02-21,"MINOT, ND","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development.",163718,586657,"SOCIAL SECURITY ADMINISTRATION",586657
"119","2190",2025-02-21,"COLLIERVILLE, TN","True Termination- Agency Closed Office",40141,137149,"FEDERAL MEDIATION AND CONCILIATION SERVICE",137149
"120","11400",2025-02-21,"HORSEHEADS, NY","Agency response on no longer a need for space provided by Portfolio.",311690,0,"SOCIAL SECURITY ADMINISTRATION",0
"121","16292",2025-02-21,"SHELBY, MT","True Termination- Agency Closed Office",363559,0,"BORDER PATROL FACILITIES",0
"122","5485",2025-02-21,"PORTLAND, OR","Agency indicated they could release this space if replacement space was procured.",132796,0,"AGRICULTURAL MARKETING SERVICE",0
"123","4237",2025-02-21,"ST. LOUIS, MO","True Termination- Agency Closed Office",122625,337219,"FEDERAL MEDIATION AND CONCILIATION SERVICE",337219
"124","570",2025-02-21,"MELBOURNE, FL","True Termination- Agency Closed Office",8862,NA,"SMALL BUSINESS ADMINISTRATION",NA
"125","315",2025-02-21,"CHICO, CA","True Termination- Agency Closed Office",7560,0,"SMALL BUSINESS ADMINISTRATION",0
"126","12926",2025-02-21,"ANNISTON, AL","True Termination- Agency Closed Office",304228,608457,"SOCIAL SECURITY ADMINISTRATION",608457
"127","4539",2025-02-21,"HERNDON, VA","True Termination- Agency Closed Office",128333,0,"BUR OF INDUSTRY & SECURITY",0
"128","2178",2025-02-21,"BUFFALO, NY","End of term",44352,0,"FEDERAL MEDIATION AND CONCILIATION SERVICE",0
"129","75000",2025-02-21,"NORTH CHARLESTON, SC","True Termination- Agency Closed Office",725132,0,"DEPARTMENT OF AIR FORCE",0
"130","12750",2025-02-21,"CAMPBELLSVILLE, KY","True Termination- Agency Closed Office",295794,1207824,"SOCIAL SECURITY ADMINISTRATION",1207824
"131","7361",2025-02-21,"CULLMAN, AL","True Termination- Agency Closed Office",180784,512221,"SOCIAL SECURITY ADMINISTRATION",512221
"132","5118",2025-02-21,"MOBILE, AL","True Termination- Agency Closed Office",112596,243958,"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION",243958
"133","1450",2025-02-21,"GADSDEN, AL","True Termination- Agency Closed Office",32357,67410,"SOCIAL SECURITY ADMINISTRATION",67410
"134","8919",2025-02-21,"JASPER, AL","True Termination- Agency Closed Office",186411,NA,"SOCIAL SECURITY ADMINISTRATION",NA
"135","1632",2025-02-21,"COLUMBUS, GA","True Termination- Agency Closed Office",51023,25512,"SOCIAL SECURITY ADMINISTRATION",25512
"136","17844",2025-02-21,"GAINESVILLE, GA","True Termination- Agency Closed Office",506527,1688423,"SOCIAL SECURITY ADMINISTRATION",1688423
"137","10133",2025-02-21,"VIDALIA, GA","True Termination- Agency Closed Office",228757,285947,"SOCIAL SECURITY ADMINISTRATION",285947
"138","9856",2025-02-21,"BRUNSWICK, GA","True Termination- Agency Closed Office",215383,341023,"SOCIAL SECURITY ADMINISTRATION",341023
"139","11150",2025-02-21,"THOMASVILLE, GA","True Termination- Agency Closed Office",289139,819228,"SOCIAL SECURITY ADMINISTRATION",819228
"140","3830",2025-02-24,"Boulder, CO","Termination details are still being finalized. The lessor and customer have been notified, and the strategy is under development.",49575,NA,"GEOLOGICAL SURVEY",NA
"141","600",2025-02-24,"OXFORD, MS","True Termination- Agency Closed Office",9228,16149,"UNITED STATES MARSHALS SERVICE",16149
"142","8946",2025-02-24,"GRENADA, MS","True Termination- Agency Closed Office",255140,127570,"SOCIAL SECURITY ADMINISTRATION",127570
"143","7161",2025-02-24,"PEARL, MS","True Termination- Agency Closed Office",112316,NA,"NATURAL RESOURCES CONSERVATION SERVICE",NA
"144","11100",2025-02-24,"GREENWOOD, MS","True Termination- Agency Closed Office",263435,504916,"SOCIAL SECURITY ADMINISTRATION",504916
"145","9796",2025-02-24,"MERIDIAN, MS","True Termination- Agency Closed Office",229983,977426,"SOCIAL SECURITY ADMINISTRATION",977426
"146","14000",2025-02-24,"POUGHKEEPSIE, NY","End of term planned for 7/31/25.",359135,NA,"SOCIAL SECURITY ADMINISTRATION",NA
"147","2250",2025-02-24,"AIKEN, SC","True Termination- Agency Closed Office",42225,200568,"SAVANNAH RIVER OPERATIONS OFFICE",200568
"148","39235",2025-02-24,"LEXINGTON-FAYETTE, KY","True Termination- Agency Closed Office",786167,917195,"FARM SERVICE AGENCY- STATE",917195
"149","5846",2025-02-24,"GREENSBORO, NC","True Termination- Agency Closed Office",107197,348390,"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION",348390
"150","7914",2025-02-24,"ELIZABETH CITY, NC","Per Agency Guideline to Terminate",200937,887470,"SOCIAL SECURITY ADMINISTRATION",887470
"151","30123",2025-02-24,"GREENSBORO, NC","Early Termination",731294,2376707,"NATURAL RESOURCES CONSERVATION SERVICE",2376707
"152","1652",2025-02-24,"HAZARD, KY","True Termination- Agency Closed Office",38031,3169,"SOCIAL SECURITY ADMINISTRATION",3169
"153","8727",2025-02-24,"GREENWOOD, SC","True Termination- Agency Closed Office",154546,141668,"SOCIAL SECURITY ADMINISTRATION",141668
"154","9298",2025-02-24,"LAWTON, OK","Agency confirmed closure is approved",223220,55805,"SOCIAL SECURITY ADMINISTRATION",55805
"155","1200",2025-02-24,"LEXINGTON-FAYETTE, KY","True Termination- Agency Closed Office",15143,15143,"SMALL BUSINESS ADMINISTRATION",15143
"156","8895",2025-02-24,"FRANKLIN, NC","True Termination- Agency Closed Office",276309,1059184,"SOCIAL SECURITY ADMINISTRATION",1059184
"157","1415",2025-02-24,"MELBOURNE, FL","True Termination- Agency Closed Office",59697,263660,"SOCIAL SECURITY ADMINISTRATION",263660
"158","3900",2025-02-24,"LOWELL, MA","True Termination- Agency Closed Office",44853,149509,"NATIONAL PARK SERVICE",149509
"159","36752",2025-02-24,"LOWELL, MA","True Termination- Move to Federal Space",1189592,0,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",0
"160","1342",2025-02-24,"ABILENE, TX","Agency approved of termination",26261,39391,"SOCIAL SECURITY ADMINISTRATION",39391
"161","13775",2025-02-25,"GREENVILLE, NC","Per Agency Request to Terminate",374170,997787,"SOCIAL SECURITY ADMINISTRATION",997787
"162","3974",2025-02-25,"LITTLE ROCK, AR","Agency approved lease termination",85875,0,"AGRICULTURAL MARKETING SERVICE",0
"163","5287",2025-02-25,"RALEIGH, NC","True Termination- Move to Federal Space",142636,NA,"BUR OF ALCOHOL,TOBACCO,FIREARMS & EXPLOSIVES",NA
"164","1920",2025-02-25,"IDAHO FALLS, ID","Termination via Mass Mod",34856,223657,"AGRICULTURAL MARKETING SERVICE",223657
"165","12774",2025-02-25,"FORREST CITY, AR","Agency approved lease termination",387856,32321,"SOCIAL SECURITY ADMINISTRATION",32321
"166","922",2025-02-25,"SEWARD, AK","Termination via Mass Mod",22665,24554,"NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION",24554
"167","1595",2025-02-25,"JUNEAU, AK","Termination via Mass Mod",20520,1710,"NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION",1710
"168","22428",2025-02-25,"AMHERST, MA","Termination via Mass Mod",484122,80687,"NATURAL RESOURCES CONSERVATION SERVICE",80687
"169","5712",2025-02-25,"ST. JOHNSBURY, VT","Termination via Mass Mod",137222,160092,"NATURAL RESOURCES CONSERVATION SERVICE",160092
"170","19716",2025-02-25,"PALMER, AK","Termination via Mass Mod",540911,2839785,"RURAL HOUSING SERVICE",2839785
"171","460",2025-02-25,"SHOW LOW, AZ","Termination via Mass Mod",11013,6424,"SMALL BUSINESS ADMINISTRATION",6424
"172","1946",2025-02-25,"MESA, AZ","Termination via Mass Mod",36974,43136,"RAILROAD RETIREMENT BOARD",43136
"173","1500",2025-02-25,"FREDONIA, AZ","Termination via Mass Mod",22860,0,"BUREAU OF INDIAN AFFAIRS",0
"174","1715",2025-02-25,"PALMDALE, CA","Termination via Mass Mod",59748,219076,"DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W",219076
"175","1527",2025-02-25,"LOS ANGELES, CA","Termination via Mass Mod",40084,33403,"AGRICULTURAL MARKETING SERVICE",33403
"176","1492",2025-02-25,"ARCATA, CA","Termination via Mass Mod",37012,58602,"INDIAN HEALTH SERVICE-CALIFORNIA",58602
"177","1303",2025-02-25,"NEW LONDON, CT","Termination via Mass Mod",41732,104330,"OFFICE OF ADMINISTRATIVE LAW JUDGES",104330
"178","1380",2025-02-25,"STAMFORD, CT","Termination via Mass Mod",71191,308496,"ENVIRONMENTAL PROTECTION AGENCY",308496
"179","1427",2025-02-25,"HILO, HI","Termination via Mass Mod",70396,310916,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",310916
"180","1273",2025-02-25,"SUTTON, MA","Termination via Mass Mod",33554,67109,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE",67109
"181","1160",2025-02-25,"JESSUP, MD","Termination via Mass Mod",30481,91443,"AGRICULTURAL MARKETING SERVICE",91443
"182","1018",2025-02-25,"VENTNOR CITY, NJ","Termination via Mass Mod",26157,235411,"OFFICE OF INSPECTOR GENERAL",235411
"183","2000",2025-02-25,"FARMINGTON, NM","Termination via Mass Mod",62677,485746,"INDIAN HEALTH SERVICE NAVAJO",485746
"184","41676",2025-02-25,"TULSA, OK","Termination via Mass Mod",745987,6340888,"OFFICE OF SURFACE MINING AND REGULATION ENFORCEMENT",6340888
"185","443",2025-02-25,"STATE COLLEGE, PA","Termination via Mass Mod",12131,45491,"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI",45491
"186","612",2025-02-25,"HARLINGEN, TX","Termination via Mass Mod",8748,15310,"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI",15310
"187","920",2025-02-25,"UVALDE, TX","Termination via Mass Mod",20070,58538,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE",58538
"188","911",2025-02-25,"HAMPTON, VA","Termination via Mass Mod",17890,5963,"NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION",5963
"189","1391",2025-02-25,"BRATTLEBORO, VT","Termination via Mass Mod",41238,65294,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",65294
"190","1525",2025-02-25,"SEFFNER, FL","Termination via Mass Mod",21855,7285,"NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION",7285
"191","1209",2025-02-25,"OXNARD, CA","Termination via Mass Mod",53075,75189,"NATURAL RESOURCES CONSERVATION SERVICE",75189
"192","2324",2025-02-25,"RALEIGH, NC","True Termination- Move to Federal Space",64157,74850,"DEPARTMENTAL MANAGEMENT (IG)",74850
"193","648",2025-02-25,"GREENSBORO, NC","True Termination- Agency Closed Office",10928,14571,"SMALL BUSINESS ADMINISTRATION",14571
"194","1436",2025-02-25,"TEXARKANA, AR","Agency approved lease termination",25643,36328,"SOCIAL SECURITY ADMINISTRATION",36328
"195","4349",2025-02-25,"WILMINGTON, NC","True Termination- Agency Closed Office",53011,83934,"CORPS OF ENGINEERS, CIVIL",83934
"196","13152",2025-02-25,"HOUMA, LA","Agency approved lease termination",551751,965564,"SOCIAL SECURITY ADMINISTRATION",965564
"197","2340",2025-02-25,"JONESBORO, AR","Agency approved lease termination",64998,194995,"SOCIAL SECURITY ADMINISTRATION",194995
