"","date","piid","agency","ceiling_value","value","update_date","fpds_status","fpds_link","vendor","description","savings"
"14",2025-02-12,"20343024F00034","Consumer Financial Protection Bureau",576384,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00034&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD","EXPERIAN INFORMATION SOLUTIONS, INC.","CONSUMER CREDIT INFORMATION PANEL AUTO FINANCE DATA COLLECTION",0
"15",2025-02-12,"20343021A00005","Consumer Financial Protection Bureau",1673640,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00005&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=IDV","AMERICAN BANKERS ASSOCIATION","AMERICAN BANKERS ASSOCIATION TRAINING SERVICES BPA",0
"16",2025-02-12,"20343021A00007","Consumer Financial Protection Bureau",1396381,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00007&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=IDV","DOMESTIC AWARDEES (UNDISCLOSED)","EXPERT WITNESS AND TESTING SERVICES BPA",0
"17",2025-02-12,"20343023A00001","Consumer Financial Protection Bureau",730000,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV","NATIONAL INSTITUTE FOR TRIAL ADVOCACY","NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA",0
"18",2025-02-12,"9531CB21A0016","Consumer Financial Protection Bureau",5e+06,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV","URBAN INSTITUTE,THE","EVALUATION AND RESEARCH SERVICES BPA",0
"19",2025-02-12,"9531CB21A0015","Consumer Financial Protection Bureau",5e+06,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV","TREWON TECHNOLOGIES LLC","EVALUATION AND RESEARCH SERVICES BPA",0
"20",2025-02-12,"9531CB21A0019","Consumer Financial Protection Bureau",5e+06,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV","ENCOMPASS LLC","EVALUATION AND RESEARCH SERVICES BPA",0
"21",2025-02-12,"9531CB24A0010","Consumer Financial Protection Bureau",0,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0010&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA23D003F&contractType=IDV","POWERTRAIN INC","OMWI TRAINING SUPPORT - CFPB ASSESSMENT AND ORGANIZATIONAL CULTURE CHANGE",0
"22",2025-02-12,"20343021F00033","Consumer Financial Protection Bureau",467095,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00033&modNumber=P00005&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD","4 STAR TECHNOLOGIES, INC.","NUVOLO IWMS LICENSES",0
"23",2025-02-12,"20343024F00022","Consumer Financial Protection Bureau",92135,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00022&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD","BAHFED CORP","BEYONDTRUST LICENSES",0
"24",2025-02-12,"20343023F00019","Consumer Financial Protection Bureau",512500,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00019&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD","GOVSMART, INC.","YUBIENTERPRISE COMPLIANCE TIER PLUS PLAN",0
"25",2025-02-12,"20343020F00068","Consumer Financial Protection Bureau",401733,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020F00068&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD23B&contractType=AWARD","GOVERNMENT ACQUISITIONS, INC.","IBM I2 ANALYST NOTEBOOK LICENSES AND SOFTWARE SUBSCRIPTION FOR CFPB",0
"26",2025-02-12,"20343024F00017","Consumer Financial Protection Bureau",41901,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00017&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD24B&contractType=AWARD","TECHANAX LLC","DELL POWEREDGE SERVER MAINTENANCE",0
"27",2025-02-12,"9531CB24F0085","Consumer Financial Protection Bureau",341150,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD","SOFTWARE INFORMATION RESOURCE CORP.","OFLEO/ENF FORECLOSURE DATA",0
"28",2025-02-12,"20343022F00042","Consumer Financial Protection Bureau",117153,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00042&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD","ENTERPRISE TECHNOLOGY SOLUTIONS, INC.","LINKEDIN RECRUITER LICENSES FOR THE OFFICE OF ENFORCEMENT INVESTIGATORS",0
"29",2025-02-12,"9531CB21A0017","Consumer Financial Protection Bureau",5e+06,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0017&modNumber=P00002&idvAgencyID=&idvPIID=GS00F009DA&contractType=IDV","WESTAT, INC.","EVALUATION AND RESEARCH SERVICES BPA",0
"30",2025-02-12,"20343024P00006","Consumer Financial Protection Bureau",16470,16470,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00006&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","EFFECTIVE EDGE WORLDWIDE LLC","VIRTUAL EFFECTIVE EDGE TRAINING COURSES",16470
"31",2025-02-12,"9531CB24F0035","Consumer Financial Protection Bureau",157560,25603,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0035&modNumber=P00002&idvAgencyID=&idvPIID=9531CB21D0004&contractType=AWARD","JURISOLUTIONS, INC.","LEGAL SUPPORT SERVICES - PARALEGAL SERVICES - OCR",25603
"32",2025-02-12,"20343024F00039","Consumer Financial Protection Bureau",26322,26322,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00039&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD","EXPERIAN INFORMATION SOLUTIONS, INC.","MAKING ENDS MEET - CREDIT PANEL DATA FOR PREVIOUS SURVEY RESPONDENTS",26322
"33",2025-02-12,"20343025F00001","Consumer Financial Protection Bureau",27112,27112,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343025F00001&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD","EXPERIAN INFORMATION SOLUTIONS, INC.","CONSUMER CREDIT INFORMATION PANEL, MAKING ENDS MEET",27112
"34",2025-02-12,"9531CB23C0006","Consumer Financial Protection Bureau",28000,27200,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","STEVEN VELEZ ORTA","TERRITORIES EXPERT",27200
"35",2025-02-12,"20343024F00048","Consumer Financial Protection Bureau",270900,36120,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00048&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0035&contractType=AWARD","RELX INC","ACCURINT GOVERNMENT PLUS LICENSES",36120
"36",2025-02-12,"9531CB23C0019","Consumer Financial Protection Bureau",1e+05,52300,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","IRA F JAFFE","ARBITRATION SERVICES",52300
"37",2025-02-12,"20343022P00011","Consumer Financial Protection Bureau",241235,61057,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00011&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD","AITE GROUP LLC","AITE GROUP RESEARCH SERVICES",61057
"38",2025-02-12,"9531CB23P0014","Consumer Financial Protection Bureau",321000,64200,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD","SOFTTHINK SOLUTIONS, INC","MOBILE INTELLIGENCE DATA PLATFORM",64200
"39",2025-02-12,"20343024P00005","Consumer Financial Protection Bureau",97590,65370,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00005&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","LAWPROSE, INC.","LAWPROSE FY24 ADVANCED LEGAL WRITING & EDITING CLASSES",65370
"40",2025-02-12,"20343024F00053","Consumer Financial Protection Bureau",602834,81582,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00053&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD","WEST PUBLISHING CORPORATION","CLEAR INVESTIGATION SOFTWARE",81582
"41",2025-02-12,"9531CB19C0009","Consumer Financial Protection Bureau",191789,87670,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB19C0009&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD","DOMESTIC AWARDEES (UNDISCLOSED)","STUDENT LOAN EXPERT WITNESS/LITIGATION CONSULTANT SERVICES FOR OFFICE OF ENFORCEMENT",87670
"42",2025-02-12,"20343024F00014","Consumer Financial Protection Bureau",123195,119805,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00014&modNumber=P00003&idvAgencyID=&idvPIID=20343023A00001&contractType=AWARD","NATIONAL INSTITUTE FOR TRIAL ADVOCACY","NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA ORDER",119805
"43",2025-02-12,"9531CB23F0071","Consumer Financial Protection Bureau",1139381,135710,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0071&modNumber=P00005&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD","ICF INCORPORATED, L.L.C.","CONSUMER SURVEY - PILOT",135710
"44",2025-02-12,"9531CB21C0027","Consumer Financial Protection Bureau",288210,135988,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0027&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD","CRA INTERNATIONAL, INC.","COMPENSATION AND CONSULTING EXPERT",135988
"45",2025-02-12,"20343024C00001","Consumer Financial Protection Bureau",1119250,186750,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024C00001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","EXPERIAN INFORMATION SOLUTIONS, INC.","EXPERIAN VELOCITY",186750
"46",2025-02-12,"9531CB21C0024","Consumer Financial Protection Bureau",564580,252781,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","DOMESTIC AWARDEES (UNDISCLOSED)","EXPERT CONTRACT - HMDA ANALYSIS",252781
"47",2025-02-12,"9531CB21C0007","Consumer Financial Protection Bureau",1619850,387161,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0007&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD","DOMESTIC AWARDEES (UNDISCLOSED)","AUTO-LOAN-SERVICING EXPERT",387161
"48",2025-02-12,"9531CB21C0025","Consumer Financial Protection Bureau",1380420,409991,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0025&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD","ANALYSIS GROUP, INC.","EXPERT WITNESS",409991
"49",2025-02-12,"9531CB20C0016","Consumer Financial Protection Bureau",3299900,596513,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD","DOMESTIC AWARDEES (UNDISCLOSED)","ECONOMIC ANAYSIS EXPERT SUPPORT",596513
"50",2025-02-12,"9531CB23C0008","Consumer Financial Protection Bureau",3713712,732081,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD","AMA CONSULTING LLC","508 SUPPORT SERVICES",732081
"51",2025-02-12,"20343024F00052","Consumer Financial Protection Bureau",899985,899985,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00052&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD","EXPERIAN INFORMATION SOLUTIONS, INC.","CONSUMER CREDIT INFORMATION PANEL IDIQ CONTRACT - AUTO LOAN SURVEY",899985
"52",2025-02-12,"20343024F00004","Consumer Financial Protection Bureau",3441633,1022444,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00004&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00005&contractType=AWARD","GUNNISON CONSULTING GROUP, INC.","CYBERSECURITY SUPPORT SERVICES - INFORMATION SECURITY STANDARDS (ISS)",1022444
"53",2025-02-12,"20343024F00002","Consumer Financial Protection Bureau",10818787,1863492,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00002&modNumber=P00006&idvAgencyID=&idvPIID=20343023A00006&contractType=AWARD","MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.","CYBERSECURITY SUPPORT SERVICES BPA ORDER - SAFEGUARDS AND RISK MANAGEMENT (SRM)",1863492
"54",2025-02-12,"20343024F00005","Consumer Financial Protection Bureau",5405885,1917787,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00005&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00003&contractType=AWARD","DELOITTE & TOUCHE LLP","CYBERSECURITY SUPPORT SERVICES BPA ORDER - SECURITY ARCHITECTURE AND ENGINEERING (SAE)",1917787
"55",2025-02-06,"9531CB20F0100","Consumer Financial Protection Bureau",193395,0,2025-02-18,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0100&modNumber=P00004&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD","ICF INCORPORATED, L.L.C.","RESEARCH FOR INNOVATIVE FINANCIAL EDUCATION BPA CALL",0
"56",2025-02-05,"9531CB20F0092","Consumer Financial Protection Bureau",94315,0.53,2025-02-18,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0092&modNumber=P00002&idvAgencyID=&idvPIID=9531CB18A0002&contractType=AWARD","DIAMOND, VIRGINIA M","BPA CALL FOR FACILITATION SERVICES",0.53
"57",2025-02-10,"9531CB24C0024","Consumer Financial Protection Bureau",178350,148350,2025-02-11,"OTHER ADMINISTRATIVE ACTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0024&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","BLOOMBERG FINANCE LP","BLOOMBERG TERMINALS - TERMINATION FOR CONVENIENCE",148350
"58",2025-02-12,"20343020C00003","Consumer Financial Protection Bureau",1896280,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020C00003&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD","S&P GLOBAL MARKET INTELLIGENCE LLC","SNL US FIG VIA THE S&P GLOBAL MARKET INTELLIGENCE PLATFORM AND SNL ASSET DATA VIA MI FEED WITH SUBSCRIBER-WIDE ACCESS.",0
"59",2025-02-12,"20343021C00003","Consumer Financial Protection Bureau",427368,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00003&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD","SESAME SOFTWARE, INC.","RELATIONAL JUNCTION SW RENEWAL",0
"60",2025-02-12,"20343021C00006","Consumer Financial Protection Bureau",287030,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00006&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD","NATIONAL CONSUMER LAW CENTER, INC.","NATIONAL CONSUMER LAW CENTER LIBRARY ACCESS",0
"61",2025-02-12,"20343022P00007","Consumer Financial Protection Bureau",201108,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00007&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD","FINANCIAL TIMES LIMITED(THE)","FINANCIAL TIMES SERVICES",0
"62",2025-02-12,"20343022P00009","Consumer Financial Protection Bureau",82884,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00009&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD","THE CAPITOL FORUM","CAPITOL FORUM SUBSCRIPTION",0
"63",2025-02-12,"20343024C00003","Consumer Financial Protection Bureau",577500,0,2025-02-14,"BASE AWARD","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024C00003&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD","INSIDE MORTGAGE FINANCE PUBLICATIONS INC","INSIDE MORTGAGE FINANCE ACCESS FOR 150 LICENSES",0
"64",2025-02-12,"47PM0224C0002","Consumer Financial Protection Bureau",948821,0,2025-02-14,"SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4740&PIID=47PM0224C0002&modNumber=PS0001&idvAgencyID=&idvPIID=&contractType=AWARD","DW SOLUTIONS, LLC","CONSUMER FINANCIAL PROTECTION BUREAU EXTERNAL CONCRETE REPAIRS, 1700 G ST. NW, WASHINGTON, DC 20522",0
"65",2025-02-12,"9531CB20C0009","Consumer Financial Protection Bureau",503810,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0009&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD","COMPETISCAN LLC","CREDIT PRODUCT CONSUMER DIRECT MARKETING",0
"66",2025-02-12,"9531CB21C0008","Consumer Financial Protection Bureau",233000,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0008&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD","ASEAGE, LLC","CARDBEAT AND PAYMENTS REPORT",0
"67",2025-02-12,"9531CB22C0004","Consumer Financial Protection Bureau",528570,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0004&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD","CLOUD ACADEMY, INC.","CLOUD TRAINING",0
"68",2025-02-12,"9531CB23C0001","Consumer Financial Protection Bureau",442414,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","LOGICEASE SOLUTIONS INC","COMPLIANCE ANALYSIS TOOL LICENSES",0
"69",2025-02-12,"9531CB23C0002","Consumer Financial Protection Bureau",10625,0,2025-02-14,"OTHER ADMINISTRATIVE ACTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0002&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","DOMESTIC AWARDEES (UNDISCLOSED)","FURNISHING EXPERT",0
"70",2025-02-12,"9531CB23C0020","Consumer Financial Protection Bureau",516500,0,2025-02-14,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0020&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","ESCALENT INC","ESCALENT ADVISORY SERVICES",0
